,Category
533,1
534,1
535,1
536,0
537,1
538,0
539,1
540,1
541,1
542,0
543,0
544,1
545,1
546,1
547,1
548,1
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,0
574,0
575,1
576,0
577,1
578,1
579,0
580,1
581,1
582,0
583,1
584,1
585,0
586,0
587,1
588,1
589,0
590,1
591,0
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,1
600,1
601,1
602,1
603,0
604,0
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,1
614,0
615,0
616,1
617,1
618,1
619,0
620,0
621,0
622,0
623,1
624,0
625,1
626,0
627,0
628,0
629,1
630,0
631,0
632,1
633,0
634,1
635,1
636,1
637,1
638,0
639,1
640,1
641,0
642,1
643,0
644,0
645,0
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,0
654,0
655,1
656,1
657,1
658,0
659,0
660,1
661,0
662,1
663,1
664,0
665,1
666,0
667,1
668,1
669,0
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,1
686,1
687,0
688,1
689,1
690,0
691,0
692,1
693,0
694,0
695,0
696,0
697,1
698,1
699,1
700,0
701,0
702,1
703,1
704,0
705,1
706,1
707,1
708,0
709,0
710,0
711,1
712,1
713,1
714,1
715,0
716,1
717,0
718,1
719,0
720,1
721,1
722,0
723,0
724,1
725,0
726,0
727,1
728,0
729,1
730,0
731,0
732,0
733,1
734,0
735,1
736,0
737,1
738,1
739,0
740,1
741,1
742,0
743,1
744,1
745,0
746,1
747,1
748,1
749,1
750,0
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,0
762,1
763,1
764,0
765,1
766,1
767,0
768,0
769,0
770,1
771,1
772,0
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,0
781,1
782,0
783,1
784,0
785,1
786,1
787,0
788,0
789,1
790,1
791,0
792,1
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,1
801,0
802,0
803,1
804,1
805,1
806,1
807,0
808,1
809,1
810,1
811,1
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,0
823,0
824,1
825,1
826,1
827,0
828,0
829,1
830,1
831,0
832,1
833,1
834,1
835,1
836,1
837,1
838,0
839,1
840,0
841,0
842,0
843,1
844,0
845,0
846,0
847,0
848,1
849,0
850,0
851,1
852,1
853,0
854,1
855,0
856,1
857,0
858,1
859,1
860,1
861,1
862,0
863,0
864,1
865,1
866,0
867,0
868,1
869,0
870,1
871,1
872,1
873,0
874,0
875,0
876,1
877,0
878,1
879,0
880,1
881,1
882,0
883,0
884,0
885,0
886,1
887,0
888,1
889,1
890,0
891,1
892,0
893,1
894,1
895,0
896,1
897,0
898,0
899,1
900,0
901,1
902,0
903,1
904,1
905,1
906,0
907,1
908,0
909,1
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,0
918,1
919,0
920,0
921,0
922,0
923,0
924,1
925,1
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,1
938,1
939,1
940,0
941,0
942,0
943,1
944,0
945,0
946,1
947,1
948,1
949,1
950,0
951,1
952,0
953,1
954,1
955,1
956,0
957,1
958,0
959,0
960,1
961,1
962,0
963,0
964,1
965,0
966,1
967,1
968,0
969,0
970,1
971,1
972,0
973,0
974,1
975,1
976,1
977,1
978,0
979,0
980,1
981,1
982,1
983,0
984,0
985,0
986,1
987,1
988,1
989,0
990,0
991,1
992,1
993,1
994,0
995,1
996,0
997,1
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,1
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,0
1028,1
1029,1
1030,0
1031,0
1032,1
1033,1
1034,1
1035,0
1036,1
1037,0
1038,0
1039,0
1040,1
1041,1
1042,0
1043,1
1044,1
1045,0
1046,1
1047,1
1048,0
1049,1
1050,1
1051,0
1052,1
1053,1
1054,0
1055,1
1056,1
1057,0
1058,0
1059,1
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,1
1067,1
1068,0
1069,0
1070,0
1071,1
1072,0
1073,1
1074,1
1075,1
1076,0
1077,0
1078,0
1079,0
1080,1
1081,0
1082,0
1083,0
1084,1
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,0
1096,1
1097,1
1098,0
1099,1
1100,0
1101,1
1102,1
1103,1
1104,0
1105,1
1106,0
1107,0
1108,1
1109,1
1110,1
1111,0
1112,0
1113,0
1114,1
1115,0
1116,0
1117,0
1118,1
1119,0
1120,1
1121,0
1122,0
1123,1
1124,0
1125,1
1126,1
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,0
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,0
1146,1
1147,1
1148,1
1149,0
1150,1
1151,1
1152,1
1153,0
1154,0
1155,1
1156,0
1157,1
1158,1
1159,0
1160,0
1161,1
1162,1
1163,0
1164,1
1165,1
1166,0
1167,0
1168,0
1169,1
1170,1
1171,0
1172,1
1173,0
1174,1
1175,1
1176,0
1177,1
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,1
1185,0
1186,0
1187,1
1188,0
1189,0
1190,0
1191,1
1192,1
1193,0
1194,0
1195,1
1196,1
1197,1
1198,1
1199,1
1200,0
1201,1
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,0
1209,1
1210,1
1211,1
1212,0
1213,0
1214,0
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,1
1223,0
1224,1
1225,1
1226,1
1227,1
1228,1
1229,0
1230,1
1231,0
1232,0
1233,0
1234,1
1235,0
1236,1
1237,1
1238,1
1239,1
1240,0
1241,0
1242,1
1243,1
1244,1
1245,0
1246,0
1247,0
1248,1
1249,1
1250,1
1251,0
1252,0
1253,1
1254,0
1255,0
1256,1
1257,1
1258,0
1259,0
1260,1
1261,0
1262,1
1263,0
1264,0
1265,1
1266,1
1267,1
1268,1
1269,0
1270,0
1271,1
1272,1
1273,1
1274,1
1275,1
1276,0
1277,1
1278,0
1279,0
1280,0
1281,0
1282,0
1283,1
1284,1
1285,1
1286,1
1287,0
1288,1
1289,1
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,1
1297,1
1298,1
1299,1
1300,1
1301,0
1302,1
1303,0
1304,0
1305,1
1306,0
1307,0
1308,0
1309,0
1310,1
1311,0
1312,0
1313,1
1314,1
1315,0
1316,0
1317,0
1318,0
1319,1
1320,0
1321,1
1322,0
1323,0
1324,1
1325,0
1326,0
1327,1
1328,0
1329,0
1330,1
1331,0
1332,1
1333,0
1334,1
1335,0
1336,1
1337,1
1338,1
1339,1
1340,0
1341,1
1342,0
1343,0
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,0
1357,0
1358,1
1359,1
1360,0
1361,0
1362,1
1363,0
1364,1
1365,0
1366,1
1367,0
1368,0
1369,0
1370,0
1371,0
1372,1
1373,1
1374,0
1375,0
1376,1
1377,0
1378,0
1379,1
1380,1
1381,1
1382,1
1383,1
1384,0
1385,0
1386,1
1387,0
1388,1
1389,1
1390,0
1391,1
1392,1
1393,1
1394,1
1395,0
1396,0
1397,0
1398,1
1399,1
1400,0
1401,1
1402,0
1403,1
1404,0
1405,1
1406,0
1407,1
1408,1
1409,0
1410,0
1411,1
1412,0
1413,0
1414,0
1415,1
1416,0
1417,0
1418,0
1419,0
1420,1
1421,0
1422,0
1423,1
1424,0
1425,0
1426,1
1427,0
1428,0
1429,0
1430,1
1431,0
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,0
1440,1
1441,0
1442,1
1443,1
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,1
1451,0
1452,1
1453,1
1454,0
1455,0
1456,0
1457,0
1458,0
1459,1
1460,1
1461,1
1462,1
1463,0
1464,1
1465,0
1466,1
1467,0
1468,1
1469,1
1470,1
1471,1
1472,0
1473,0
1474,1
1475,0
1476,0
1477,0
1478,1
1479,1
1480,1
1481,1
1482,1
1483,0
1484,1
1485,0
1486,0
1487,1
1488,1
1489,0
1490,1
1491,1
1492,0
1493,0
1494,0
1495,1
1496,0
1497,0
1498,1
1499,0
1500,0
1501,1
1502,0
1503,1
1504,0
1505,1
1506,0
1507,1
1508,0
1509,1
1510,0
1511,1
1512,1
1513,0
1514,1
1515,1
1516,1
1517,1
1518,0
1519,0
1520,1
1521,1
1522,1
1523,1
1524,0
1525,1
1526,0
1527,0
1528,0
1529,1
1530,0
1531,1
1532,1
1533,1
1534,0
1535,0
1536,1
1537,1
1538,0
1539,1
1540,0
1541,1
1542,1
1543,1
1544,0
1545,1
1546,1
1547,1
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,1
1555,1
1556,0
1557,1
1558,1
1559,0
1560,1
1561,1
1562,0
1563,1
1564,0
1565,1
1566,1
1567,1
1568,0
1569,0
1570,1
1571,0
1572,1
1573,0
1574,1
1575,0
1576,1
1577,1
1578,0
1579,0
1580,1
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,1
1589,0
1590,1
1591,0
1592,0
1593,0
1594,1
1595,0
1596,0
1597,1
1598,1
1599,1
1600,1
1601,0
1602,1
1603,1
1604,1
1605,0
1606,0
1607,1
1608,0
1609,0
1610,0
1611,1
1612,0
1613,0
1614,1
1615,0
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,0
1624,1
1625,1
1626,0
1627,0
1628,1
1629,1
1630,1
1631,0
1632,0
1633,1
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,1
1641,1
1642,0
1643,0
1644,1
1645,1
1646,0
1647,0
1648,1
1649,1
1650,1
1651,0
1652,0
1653,1
1654,0
1655,0
1656,0
1657,0
1658,0
1659,1
1660,1
1661,1
1662,0
1663,0
1664,1
1665,0
1666,1
1667,0
1668,0
1669,0
1670,1
1671,1
1672,1
1673,1
1674,0
1675,0
1676,1
1677,0
1678,0
1679,1
1680,0
1681,1
1682,1
1683,0
1684,0
1685,1
1686,1
1687,0
1688,1
1689,1
1690,0
1691,1
1692,0
1693,1
1694,0
1695,1
1696,0
1697,1
1698,1
1699,1
1700,0
1701,0
1702,0
1703,1
1704,1
1705,1
1706,1
1707,1
1708,0
1709,1
1710,0
1711,0
1712,0
1713,1
1714,1
1715,1
1716,0
1717,0
1718,0
1719,0
1720,1
1721,0
1722,0
1723,0
1724,1
1725,0
1726,0
1727,1
1728,1
1729,1
1730,0
1731,1
1732,1
1733,0
1734,0
1735,1
1736,0
1737,0
1738,0
1739,1
1740,0
1741,1
1742,0
1743,0
1744,1
1745,1
1746,0
1747,1
1748,1
1749,0
1750,0
1751,0
1752,0
1753,1
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,1
1763,0
1764,0
1765,0
1766,1
1767,1
1768,1
1769,0
1770,0
1771,0
1772,1
1773,1
1774,1
1775,1
1776,0
1777,1
1778,0
1779,0
1780,1
1781,1
1782,0
1783,0
1784,1
1785,0
1786,0
1787,0
1788,1
1789,1
1790,1
1791,1
1792,0
1793,0
1794,0
1795,0
1796,1
1797,0
1798,0
1799,0
1800,0
1801,1
1802,1
1803,0
1804,0
1805,0
1806,1
1807,0
1808,0
1809,0
1810,1
1811,1
1812,1
1813,0
1814,1
1815,0
1816,1
1817,0
1818,1
1819,1
1820,1
1821,0
1822,1
1823,1
1824,1
1825,0
1826,0
1827,1
1828,1
1829,1
1830,1
1831,0
1832,0
1833,0
1834,0
1835,0
1836,1
1837,1
1838,1
1839,1
1840,1
1841,0
1842,0
1843,1
1844,0
1845,1
1846,0
1847,0
1848,0
1849,0
1850,0
1851,1
1852,0
1853,1
1854,0
1855,0
1856,1
1857,1
1858,0
1859,0
1860,0
1861,1
1862,1
1863,1
1864,1
1865,0
1866,1
1867,1
1868,1
1869,1
1870,1
1871,1
1872,1
1873,1
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,1
1881,0
1882,1
1883,1
1884,1
1885,1
1886,0
1887,0
1888,1
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,1
1897,1
1898,1
1899,1
1900,0
1901,0
1902,1
1903,1
1904,1
1905,1
1906,1
1907,0
1908,1
1909,1
1910,0
1911,1
1912,0
1913,1
1914,0
1915,1
1916,1
1917,0
1918,0
1919,0
1920,0
1921,1
1922,0
1923,1
1924,1
1925,0
1926,0
1927,1
1928,1
1929,0
1930,1
1931,0
1932,1
1933,1
1934,0
1935,1
1936,1
1937,0
1938,0
1939,1
1940,0
1941,1
1942,1
1943,0
1944,0
1945,0
1946,0
1947,1
1948,1
1949,0
1950,1
1951,1
1952,1
1953,1
1954,0
1955,1
1956,1
1957,1
1958,1
1959,1
1960,0
1961,1
1962,1
1963,0
1964,0
1965,0
1966,1
1967,0
1968,1
1969,1
1970,0
1971,1
1972,0
1973,1
1974,0
1975,0
1976,1
1977,0
1978,1
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,1
1988,0
1989,0
1990,0
1991,1
1992,1
1993,0
1994,0
1995,0
1996,0
1997,1
1998,0
1999,0
2000,0
2001,1
2002,1
2003,0
2004,1
2005,0
2006,1
2007,1
2008,1
2009,0
2010,0
2011,0
2012,1
2013,1
2014,1
2015,0
2016,0
2017,1
2018,1
2019,1
2020,1
2021,1
2022,0
2023,1
2024,1
2025,1
2026,1
2027,0
2028,1
2029,0
2030,1
2031,0
2032,1
2033,0
2034,0
2035,1
2036,0
2037,0
2038,0
2039,1
2040,0
2041,1
2042,1
2043,0
2044,1
2045,0
2046,1
2047,1
2048,1
2049,1
2050,1
2051,0
2052,1
2053,0
2054,1
2055,0
2056,1
2057,1
2058,1
2059,0
2060,0
2061,1
2062,0
2063,0
2064,0
2065,1
2066,0
2067,1
2068,0
2069,0
2070,1
2071,0
2072,0
2073,0
2074,1
2075,1
2076,1
2077,1
2078,0
2079,0
2080,0
2081,1
2082,1
2083,1
2084,0
2085,0
2086,1
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,1
2094,0
2095,1
2096,1
2097,0
2098,1
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,1
2106,0
2107,0
2108,0
2109,0
2110,1
2111,0
2112,0
2113,0
2114,0
2115,0
2116,1
2117,0
2118,1
2119,0
2120,1
2121,0
2122,0
2123,1
2124,0
2125,1
2126,0
2127,0
2128,0
2129,1
2130,0
2131,0
2132,0
2133,1
2134,1
2135,1
2136,0
2137,0
2138,0
2139,1
2140,1
2141,0
2142,1
2143,1
2144,1
2145,1
2146,0
2147,0
2148,0
2149,0
2150,1
2151,0
2152,1
2153,0
2154,0
2155,1
2156,1
2157,1
2158,0
2159,1
2160,0
2161,0
2162,1
2163,0
2164,1
2165,1
2166,0
2167,0
2168,1
2169,0
2170,0
2171,0
2172,0
2173,0
2174,1
2175,0
2176,1
2177,0
2178,0
2179,1
2180,1
2181,1
2182,0
2183,0
2184,0
2185,0
2186,1
2187,0
2188,1
2189,1
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,1
2197,1
2198,1
2199,0
2200,1
2201,0
2202,1
2203,0
2204,1
2205,1
2206,0
2207,1
2208,0
2209,0
2210,1
2211,1
2212,0
2213,1
2214,1
2215,1
2216,0
2217,1
2218,0
2219,1
2220,1
2221,0
2222,0
2223,0
2224,1
2225,1
2226,0
2227,1
2228,0
2229,1
2230,0
2231,1
2232,0
2233,0
2234,0
2235,1
2236,0
2237,1
2238,1
2239,1
2240,1
2241,0
2242,0
2243,1
2244,0
2245,0
2246,0
2247,0
2248,0
2249,1
2250,0
2251,1
2252,1
2253,0
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,0
2262,0
2263,0
2264,0
2265,1
2266,0
2267,1
2268,0
2269,1
2270,0
2271,1
2272,0
2273,0
2274,1
2275,0
2276,0
2277,1
2278,1
2279,1
2280,0
2281,1
2282,1
2283,1
2284,1
2285,0
2286,0
2287,0
2288,1
2289,0
2290,0
2291,1
2292,0
2293,1
2294,0
2295,1
2296,0
2297,1
2298,1
2299,1
2300,1
2301,1
2302,0
2303,0
2304,1
2305,0
2306,1
2307,0
2308,1
2309,0
2310,0
2311,1
2312,1
2313,0
2314,0
2315,1
2316,0
2317,1
2318,1
2319,0
2320,1
2321,0
2322,1
2323,1
2324,0
2325,1
2326,1
2327,1
2328,1
2329,1
2330,0
2331,1
2332,0
2333,1
2334,1
2335,0
2336,1
2337,1
2338,1
2339,1
2340,0
2341,0
2342,0
2343,0
2344,1
2345,1
2346,1
2347,0
2348,0
2349,0
2350,1
2351,1
2352,0
2353,1
2354,1
2355,0
2356,0
2357,0
2358,1
2359,1
2360,1
2361,0
2362,1
2363,1
2364,1
2365,1
2366,0
2367,1
2368,1
2369,1
2370,0
2371,1
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,1
2379,0
2380,1
2381,1
2382,1
2383,1
2384,0
2385,1
2386,1
2387,0
2388,1
2389,1
2390,0
2391,0
2392,1
2393,1
2394,1
2395,1
2396,0
2397,1
2398,0
2399,1
2400,0
2401,0
2402,0
2403,1
2404,1
2405,0
2406,0
2407,1
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,1
2415,1
2416,0
2417,1
2418,0
2419,1
2420,0
2421,0
2422,0
2423,0
2424,0
2425,1
2426,1
2427,1
2428,0
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,1
2437,0
2438,0
2439,1
2440,1
2441,1
2442,0
2443,1
2444,1
2445,0
2446,1
2447,0
2448,1
2449,0
2450,1
2451,1
2452,0
2453,0
2454,0
2455,1
2456,1
2457,0
2458,1
2459,1
2460,1
2461,0
2462,0
2463,0
2464,0
2465,0
2466,0
2467,1
2468,0
2469,0
2470,0
2471,0
2472,1
2473,0
2474,1
2475,1
2476,1
2477,1
2478,0
2479,0
2480,1
2481,0
2482,1
2483,0
2484,0
2485,1
2486,0
2487,1
2488,0
2489,1
2490,1
2491,0
2492,1
2493,1
2494,1
2495,0
2496,1
2497,1
2498,1
2499,1
2500,1
2501,1
2502,1
2503,0
2504,0
2505,0
2506,1
2507,1
2508,0
2509,0
2510,1
2511,0
2512,1
2513,0
2514,1
2515,0
2516,0
2517,0
2518,1
2519,1
2520,1
2521,0
2522,1
2523,0
2524,0
2525,1
2526,0
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,0
2534,1
2535,0
2536,1
2537,1
2538,0
2539,0
2540,1
2541,0
2542,0
2543,1
2544,1
2545,1
2546,1
2547,0
2548,1
2549,1
2550,0
2551,0
2552,0
2553,0
2554,1
2555,0
2556,0
2557,1
2558,0
2559,1
2560,1
2561,0
2562,0
2563,0
2564,0
2565,1
2566,0
2567,1
2568,1
2569,0
2570,0
2571,1
2572,0
2573,0
2574,1
2575,1
2576,0
2577,1
2578,0
2579,0
2580,0
2581,0
2582,1
2583,1
2584,1
2585,1
2586,1
2587,1
2588,0
2589,1
2590,0
2591,0
2592,0
2593,0
2594,1
2595,0
2596,0
2597,0
2598,1
2599,0
2600,1
2601,0
2602,0
2603,0
2604,1
2605,0
2606,1
2607,1
2608,1
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,1
2616,0
2617,0
2618,0
2619,1
2620,1
2621,1
2622,0
2623,0
2624,1
2625,0
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,0
2636,1
2637,1
2638,1
2639,0
2640,1
2641,0
2642,1
2643,1
2644,0
2645,1
2646,0
2647,0
2648,1
2649,0
2650,1
2651,1
2652,0
2653,1
2654,0
2655,0
2656,1
2657,0
2658,0
2659,0
2660,1
2661,1
2662,0
2663,1
2664,1
2665,0
2666,0
2667,1
2668,0
2669,0
2670,1
2671,0
2672,1
2673,1
2674,0
2675,0
2676,1
2677,0
2678,1
2679,0
2680,1
2681,0
2682,0
2683,0
2684,0
2685,1
2686,1
2687,0
2688,0
2689,0
2690,0
2691,1
2692,0
2693,0
2694,1
2695,1
2696,1
2697,1
2698,0
2699,1
2700,1
2701,0
2702,0
2703,0
2704,1
2705,0
2706,0
2707,0
2708,0
2709,1
2710,1
2711,1
2712,0
2713,1
2714,0
2715,0
2716,1
2717,1
2718,0
2719,0
2720,0
2721,1
2722,0
2723,0
2724,0
2725,1
2726,1
2727,1
2728,0
2729,1
2730,1
2731,1
2732,0
2733,1
2734,0
2735,1
2736,1
2737,1
2738,1
2739,0
2740,1
2741,1
2742,0
2743,0
2744,1
2745,1
2746,1
2747,0
2748,0
2749,0
2750,0
2751,0
2752,1
2753,1
2754,1
2755,0
2756,1
2757,1
2758,0
2759,1
2760,1
2761,1
2762,0
2763,1
2764,1
2765,0
2766,0
2767,1
2768,0
2769,0
2770,1
2771,1
2772,1
2773,0
2774,1
2775,1
2776,1
2777,1
2778,0
2779,0
2780,0
2781,1
2782,0
2783,1
2784,0
2785,0
2786,0
2787,0
2788,1
2789,1
2790,0
2791,1
2792,0
2793,1
2794,0
2795,1
2796,0
2797,1
2798,1
2799,0
2800,0
2801,1
2802,1
2803,0
2804,1
2805,0
2806,1
2807,0
2808,1
2809,1
2810,0
2811,1
2812,1
2813,1
2814,1
2815,1
2816,1
2817,1
2818,1
2819,1
2820,0
2821,0
2822,1
2823,1
2824,1
2825,1
2826,1
2827,0
2828,0
2829,1
2830,1
2831,0
2832,0
2833,0
2834,1
2835,1
2836,0
2837,0
2838,0
2839,1
2840,1
2841,1
2842,1
2843,0
2844,0
2845,0
2846,0
2847,1
2848,0
2849,0
2850,0
2851,1
2852,1
2853,1
2854,1
2855,0
2856,0
2857,0
2858,0
2859,0
2860,1
2861,0
2862,0
2863,0
2864,1
2865,0
2866,1
2867,1
2868,0
2869,1
2870,0
2871,1
2872,0
2873,0
2874,1
2875,1
2876,1
2877,0
2878,1
2879,1
2880,1
2881,1
2882,0
2883,1
2884,1
2885,0
2886,0
2887,0
2888,1
2889,1
2890,1
2891,0
2892,1
2893,1
2894,0
2895,0
2896,0
2897,0
2898,0
2899,1
2900,0
2901,1
2902,1
2903,1
2904,1
2905,1
2906,1
2907,1
2908,1
2909,0
2910,0
2911,1
2912,1
2913,0
2914,0
2915,0
2916,1
2917,1
2918,1
2919,1
2920,1
2921,1
2922,1
2923,1
2924,0
2925,1
2926,1
2927,1
2928,1
2929,0
2930,0
2931,1
2932,1
2933,0
2934,0
2935,1
2936,1
2937,0
2938,0
2939,1
2940,0
2941,1
2942,0
2943,1
2944,1
2945,0
2946,1
2947,1
2948,1
2949,0
2950,1
2951,1
2952,0
2953,0
2954,1
2955,0
2956,0
2957,0
2958,0
2959,1
2960,0
2961,1
2962,1
2963,0
2964,0
2965,1
2966,1
2967,0
2968,1
2969,1
2970,0
2971,0
2972,1
2973,1
2974,1
2975,0
2976,1
2977,0
2978,0
2979,1
2980,1
2981,0
2982,1
2983,0
2984,1
2985,1
2986,1
2987,1
2988,0
2989,1
2990,0
2991,1
2992,0
2993,1
2994,0
2995,0
2996,1
2997,0
